Start Date,RELIANCE IS Equity,ITC IS Equity,MM IS Equity,SBIN IS Equity,HNDL IS Equity,TATA IS Equity,SUNP IS Equity,TTAN IS Equity,HDFCB IS Equity,BPCL IS Equity,CIPLA IS Equity,APNT IS Equity,ONGC IS Equity,JSTL IS Equity,WPRO IS Equity,DRRD IS Equity,HMCL IS Equity,HUVR IS Equity,INFO IS Equity,KMB IS Equity,LT IS Equity,MSIL IS Equity
31-08-2009,452.39,76.98,215.91,174.29,106,39.8,119.06,61.48,147.1,84.62,270.85,140.03,197.58,68.91,110.36,792.9,1510.7,259.95,266.39,179.05,696.64,1437.75
01-09-2009,446.92,76.72,211.7,173.32,104.1,39.13,117.73,61.57,144.61,85.44,268.65,137.7,193.82,66.99,112.19,784.7,1534.05,262.45,268.11,176.31,689.13,1540.45
02-09-2009,444.73,76.02,206.3,173.44,103.85,38.94,119.01,61.35,143.88,90.1,270.4,135.2,192.59,66.37,111.24,778.85,1560.55,267.15,270.61,174.06,680.98,1509.3
03-09-2009,435.62,75.6,203.26,174.7,103,39.46,118.58,61.67,143.54,92.43,266,135.2,190.04,67.18,110.69,766.55,1547.75,267.65,273.4,174.96,673.22,1507.4
04-09-2009,446.98,77.75,216.86,176.25,105.2,40.36,120.96,62.1,145.43,93.15,267.8,137.48,196.37,69.27,110.83,772.8,1610.9,273.05,275.13,178.45,696.62,1546.6
07-09-2009,451.88,77.02,214.33,181.33,108.4,41.45,122.91,64.57,146.74,99.29,268.65,138.01,198.08,72.53,111.24,794.1,1632.55,274,278.02,181.38,710.4,1554.6
08-09-2009,468.29,76.22,209.54,189.41,114.95,42.82,121.57,63.96,145.69,98.07,266.5,137.56,197.63,73.68,110.51,795.05,1668.85,266.25,275.48,180.8,718.96,1517.75
09-09-2009,489.24,75.67,209.24,189.48,120.2,43.21,122.04,63.88,147.55,93.75,267.4,136.63,196.68,73.1,108.88,793.05,1627.85,265.45,273.71,179.65,712.02,1513.05
10-09-2009,484.5,76.35,205.53,188.16,116.9,44.08,120.33,61.61,148.56,95.81,265.05,137.73,196.78,73.72,109.08,821.05,1573.1,262.1,280.04,181.83,711.53,1489.1
11-09-2009,483.01,75.7,205.33,192.05,124.4,44,120.77,62.8,149.13,93.25,265.1,136.01,196.13,73.49,110.56,809.7,1567.35,256.1,283.43,181.11,723.53,1468.6
14-09-2009,482.71,74.63,207.36,195.65,120.85,44.92,120.32,62.52,149.38,94.48,263.5,136.27,193.57,74.47,111.87,819.7,1560.35,259.9,281.27,183.83,713.27,1474.4
15-09-2009,492.05,76.35,210.41,200.81,125.2,46.2,121.91,62.76,151.43,95.03,265.05,137.42,190.91,76.75,112.27,828.5,1615.65,259.6,283.82,187.46,724.22,1500
16-09-2009,492.75,77.02,214.98,208.67,131.1,49.73,123.01,63.98,151.68,93.94,262.05,137.48,191.51,81.03,111.35,830.55,1683.05,257,290.01,185.09,724.91,1517.3
17-09-2009,470.67,76.27,217.33,210.18,136.4,48.87,122.05,63.92,153.49,89.33,259.15,136.45,193.18,79.93,113.63,835.05,1663.05,261.2,295.24,183.95,731.38,1559.95
18-09-2009,474.37,75.63,221.48,214.78,138.25,48.58,119.66,63.3,152.45,90.62,259.05,137.59,193.94,79.27,114.21,866,1679.7,261.65,295.53,184,735.6,1639.3
21-09-2009,474.37,75.63,221.48,214.78,138.25,48.58,119.66,63.3,152.45,90.62,259.05,137.59,193.94,79.27,114.21,866,1679.7,261.65,295.53,184,735.6,1639.3
22-09-2009,473.34,77.78,222.29,217.08,137.1,49.01,120.5,62.93,154.64,93.43,264.3,135.76,192.53,80.3,115.8,862.3,1695.6,264.65,301.27,184.65,741.6,1657.85
23-09-2009,474.18,76.83,216.34,214.17,134.45,48.84,121.14,62.72,156.96,92.75,259.85,136.55,193.64,82.71,113.75,869,1682.1,258.45,295.87,182.48,726.71,1654.2
24-09-2009,474.01,77.52,215.68,216.73,129,48.09,122.82,62.5,162.38,95.61,258.7,136.55,191.67,84.1,116.55,892.25,1651.4,259.95,285.56,184.49,737.04,1635.2
25-09-2009,481.69,78.33,212.48,213.85,126.7,46.75,130.83,61.89,160.85,96.88,267.2,137.94,192.88,80.77,113.65,987.55,1652.3,259.5,280.06,183.21,731.71,1637.9
28-09-2009,481.69,78.33,212.48,213.85,126.7,46.75,130.83,61.89,160.85,96.88,267.2,137.94,192.88,80.77,113.65,987.55,1652.3,259.5,280.06,183.21,731.71,1637.9
29-09-2009,489.83,78.08,213.01,209.2,126.9,47.29,139.47,62.46,161.14,94.66,279.6,139.62,198.28,81.92,116.8,988.1,1655.8,263.25,286.92,189.49,733.13,1638.4
30-09-2009,496.73,77.68,220.8,219.49,129.05,47.79,140.77,62.55,165.05,95.68,279.9,140.57,195.33,83.26,120.83,992.75,1672.4,262.6,288.3,194.88,750.76,1701.4
01-10-2009,490.57,77.52,222.53,221.08,126.8,47.92,140.44,62.53,164.43,92.81,272.5,141.35,197.03,85.38,122.02,952.2,1633.95,265.4,292.09,192.21,740.09,1655.95
02-10-2009,490.57,77.52,222.53,221.08,126.8,47.92,140.44,62.53,164.43,92.81,272.5,141.35,197.03,85.38,122.02,952.2,1633.95,265.4,292.09,192.21,740.09,1655.95
05-10-2009,482.62,79.52,224.95,213.32,118,46.62,143.41,62.47,163.41,93.88,274.65,140.44,194.96,83.65,122.12,920.75,1641.55,267.05,290.39,185.01,735.33,1597.05
